t,Z
0.06598,7.076126927000239
0.066,7.101038276661895
0.06602,7.13933940120456
0.06604,7.146680622296822
0.06606,7.188316391394067
0.06608,7.239423545976749
0.0661,7.206449092022147
0.06612,7.214595742889405
0.06614,7.224212017735187
0.06616,7.187478107762129
0.06618,7.161206694917505
0.0662,7.136021703978374
0.06622,7.092181463465381
0.06624,7.050863955274027
0.06626,7.022851319853899
0.06628,6.978512738853804
0.0663,6.943772101747403
0.06632,6.9206971312714805
0.06634,6.887501853589972
0.06636,6.862044002458946
0.06638,6.846965167503808
0.0664,6.830832096609539
0.06642,6.8261489692645565
0.06644,6.832466062522164
0.06646,6.84003839650304
0.06648,6.857169916461757
0.0665,6.8840335305530775
0.06652,6.9074545511797005
0.06654,6.935062838889558
0.06656,6.965628334749563
0.06658,6.990096382617495
0.0666,7.011169087089837
0.06662,7.033557152849849
0.06664,7.050595264553042
0.06666,7.062952339917845
0.06668,7.073192931317718
0.0667,7.079582965428487
0.06672,7.0812717234505245
0.06674,7.080185174563011
0.06676,7.07686327471329
0.06678,7.071784162881245
0.0668,7.067232974355287
0.06682,7.0588568850676445
0.06684,7.050771345602651
0.06686,7.044542482856468
0.06688,7.040789368280653
0.0669,7.034051506253816
0.06692,7.028246856082518
0.06694,7.024620673944737
0.06696,7.023355732507997
0.06698,7.019609776591306
0.067,7.01693374295362
0.06702,7.015128717606209
0.06704,7.01574775152392
0.06706,7.018195556676353
0.06708,7.0212590753594775
0.0671,7.025418752253521
0.06712,7.026539009817089
0.06714,7.025900313625965
0.06716,7.021034783445339
0.06718,7.011933374161569
0.0672,7.001348890362729
0.06722,6.990416608990286
0.06724,6.981127150509206
0.06726,6.973978930404212
0.06728,6.97433467814462
0.0673,6.9744512604193165
0.06732,6.979053688252186
0.06734,6.999004611394673
0.06736,7.003411857652024
0.06738,7.013298283884975
0.0674,7.024089647417595
0.06742,7.0276881488086245
0.06744,7.035690454619765
0.06746,7.0435348131756905
0.06748,7.0590475869963685
0.0675,7.068280854822392
0.06752,7.082880350297668
0.06754,7.098130746200688
0.06756,7.101293111109867
0.06758,7.110107272254648
0.0676,7.119119660825939
0.06762,7.112566032756412
0.06764,7.109972423637448
0.06766,7.1052671434880095
0.06768,7.094895039324644
0.0677,7.087705112388201
0.06772,7.080748954116271
0.06774,7.07187736466746
0.06776,7.063459500701081
0.06778,7.059045606478
0.0678,7.0525852743319355
0.06782,7.04837194848455
0.06784,6.950335443827482
0.06786,6.937526486812835
0.06788,6.94732217394388
0.0679,6.942243192701565
0.06792,6.950655975666784
0.06794,6.9811528264163005
0.06796,6.984676238388394
0.06798,7.0048760827335865
0.068,7.022043244798709
0.06802,7.023010250013293
0.06804,7.023676508893987
0.06806,6.994067478912972
0.06808,7.000806833859099
0.0681,7.002575001329502
0.06812,7.006583625032426
0.06814,7.018266763863788
0.06816,7.062782853588154
0.06818,7.08811980413086
0.0682,7.106107657392837
0.06822,7.117917400628635
0.06824,7.105753705911945
0.06826,7.0728506486467
0.06828,7.075950319008094
0.0683,7.065479161177982
0.06832,7.064755655142975
0.06834,7.066300838466952
0.06836,7.064437970603143
0.06838,7.072078993947125
0.0684,7.074066695314704
0.06842,7.074064314225061
0.06844,7.074312275591902
0.06846,7.071692961781672
0.06848,7.067196214524154
0.0685,7.065563549811317
0.06852,7.060755380921999
0.06854,7.055503154856567
0.06856,7.050487248895708
0.06858,7.040872405355776
0.0686,7.036326429646285
0.06862,7.031753591936754
0.06864,7.024341480228499
0.06866,7.020524612492535
0.06868,7.017861599369044
0.0687,7.009820798448662
0.06872,7.004394574061037
0.06874,6.999536121505158
0.06876,6.994679384986754
0.06878,6.994258714219815
0.0688,6.996563069219363
0.06882,6.998580040263352
0.06884,7.003367312662933
0.06886,7.007088400726688
0.06888,7.010476885135263
0.0689,7.010689522450029
0.06892,7.011890823659059
0.06894,7.011858116178542
0.06896,7.012218807028071
